trend_id,date,platform,keyword,post_text,hashtags
11,2025-09-25 2:18,googlenews,다이어트 유산균,"한국 다이어터는 피하는데 해외선 난리…김치 ‘항비만 효능’ - ZUM 뉴스
https://news.google.com/rss/articles/CBMi8wJBVV95cUxPelFUaHZHZDNTUE1LTVZ2T0tmVGhJQkpLVGVIY3JYVFZiSzlXYWxTTmpjTl9QTGJua29MaWN5TDVfenpUUTNxakI5ZWV2WktfRHRaSmZYLTNURWRFYXJEcGluQ2tSbFJwTHd1VVZWajNoMkFTZGVqa3Y4QnJIdUV2NVlZbzlRdTZUYnJHSEdTV1pTWncyZWE5MVBxSmdIb21xdmxBLXgxa1ZoTUdaUFhWQVoyN3dBa0FGOVl5bmdoOWwwRVRZNVpyQ2JLcllaSjJXeklNNFJEakdyWUFsMjRrRkJQZ0lYQlk1VlNLVmRCSFVKZWNqNlNYRTRyR1hoeWlYaTBnZWpyU0wycHdnazU2dm1OMVhYd0lFbjhOQnhwQ2kxNlgyd3ZjcFZkMWVuODlfTWlFMWNFQTd0cFFTWU5PNEltZUxVdG9LZkdmMTV2dHc0UVowUjg1bUZoYkZuWW42SXQ5T1R0cVZLcVRNbEltVEZsTQ?oc=5",
12,2025-09-24 1:24,googlenews,다이어트 유산균,"[울산엘리야병원] 간 건강 위협하는 건강기능식품, 섭취 전 주의사항 반드시 확인해야 - 울산종합일보
https://news.google.com/rss/articles/CBMic0FVX3lxTFBMV0JBbGFDQU4weTV0by1GeWdYcG5ZeGVFX0NVdjJXSlA4NFBBQ0E2SnNwVkhlbGNJZDA2dlpUY3FrNXpTNDFzVmd0RmxGWEhMNWJTX0xzQ0gyV3JFRHNNWWlHZEE1dndDdXYwbEV1eFVXZ3c?oc=5",
13,2025-09-23 20:04,googlenews,다이어트 유산균,"가격대 다양·소포장 구성…할인 행사도 - 네이트
https://news.google.com/rss/articles/CBMiU0FVX3lxTE1EVnhINko5UHV4UUROdmVlTUdoNENzR2NDa0dzQXUwQndJUE9mWC1XbmN6SGtFTnNKMWh5TjVwc0l5N3h1QTBUeGhtZm1qdzRBRzNR?oc=5",
14,2025-09-23 19:17,googlenews,다이어트 유산균,"가격대 다양·소포장 구성… 할인 행사도 - MSN
https://news.google.com/rss/articles/CBMioAJBVV95cUxPOUVXUTFaSl84QWVoV0NFaUZKcW0zUG1sakhIVjJkWEFyWXVFaEJ1aG44WEpsMWljYVZ1OXVNd19ZNXRiLWViUTYySHlxM19fbjhYTUJWMU52SFJzWkJXTjg3a1BUM2F4X0RXZFBDN2thR2ExelhJNFFKM1lXYk52azBZTzViQ0p1alNyVjRkaGJzdWg2UWwtMDZtc1VyUHFoMnNEVDlQdER4a1A1Wm9XVnE5Zl80SVM5dmtBNFAweDhobWZVSlA0QUo4RklJN3plZnpUMWd5eGUzd0J1NGc2enJfTDBEV1RtTFlVc2tYX3BLanV0Nkt1TEttMkpWa21Db3phNWE2ZXRFOUl0bFhsVHZOekpqSmtFNkdRaWpPWnE?oc=5",
15,2025-09-22 21:05,googlenews,다이어트 유산균,"[2025 한국고객만족도 1위] 여성을 위한 건강기능식품, 럭키클로버 - v.daum.net
https://news.google.com/rss/articles/CBMiVEFVX3lxTE5MTldjckxpb0hIUnRvY040aU9YNHlHNEtOTVdLWTYyYjRrd25LZUVYd2FMaHJSV2NYbnczZ2lOQVphd1JXQ01NVmVkbU5UbzloYU9WUQ?oc=5",
16,2025-09-21 23:32,googlenews,다이어트 유산균,"‘비에날씬’ 모델 김희선 바이오니아 본사 초청 및 행사 진행 - 매일경제
https://news.google.com/rss/articles/CBMiUkFVX3lxTFBodVRseTYxVHVWR2Zoc29lcE5xVGFwT1Vrc28za1J4ZXpTLTNWd0VhOHpocnRvUEtkaXV0TTFsVkpWakhJNFR4VU8xQ0x1X0hGeEE?oc=5",
17,2025-09-17 7:00,googlenews,다이어트 유산균,"특허유산균 다이어트 단백질쉐이크 '메타슬림', 체중관리 대안 '주목' - ESG경제
https://news.google.com/rss/articles/CBMibEFVX3lxTE4waHlaME80elE1VGxjVU9sS1doY2ozeEk1WFQ4QVdXWnloUFVKZGtpRTJCc1k5anR2Wk8yc3hYd2FFNWNVbjdXNmtIeWstZWduNjI3SUM0RkFBb3g0a1RrMmIySHVRRWRXRGpmXw?oc=5",
18,2025-09-17 7:00,googlenews,다이어트 유산균,"과민성 대장증후군 극복! 저포드맵 유산균과 운동으로 체중·면역력 다 잡은 법｜교양있게 - MSN
https://news.google.com/rss/articles/CBMikARBVV95cUxNa2JwNnZhVnZVMW4tNnFCdjA2OU9hLXpXLVgtVFBIM0hLSXh1LWNOVXNISkZBR3NBSl96RVQzS1dUZ0ZkSDdlMndWS2ZkVUZOLVRVSElMU1NhY0lIVUFHV18zTnFXMzlQYUxfSzZDbVJWZXVCcWVYdXBYY3ZzQlZPWEFpT0lKZFdYc1R2THdHWFZxQnRxQmhQWG16LXVqX3RRQ2lhQXBLUGdONzIyMWJySnJaOEZ5X0stRnd4dnJsZTNOWHVsVl9ubW5BOUp3Vm40SHpxYkVJSTBCNkg0OVJFNzBBMjdTMzNIUmEwSnktUm9zYTlER0FHT1dHZEVBclhiNjdOX0cweUtvRFFLZ2V3b2RUeDVsem9JS0poVVZtT05jbEEybVJ6RnZsMnpuSU82WTBpSEdTNXlVR0dqbldvUnNhRGd6NWpYZjFQc2ZPUWhqUVI5SFM2S1BKLU5FUU5yY2w0NjNtdllQckxSNkt3UmYtbjdoTEo0SlBfZDU5UVp3cXpnZ1BqZlhlY1N3M185V3FvOUZEODY1NEtiZ3V6bktOY2J4Z2Q3Z09OWm5WdzduTEtWdi01SThwaDhoZFE4MmF5S2ZqN3gtR2dQMjBlQTM2X2pZTXhKblE0SVJ3WDFjMXZpdjNpam9TX25TSjJnOVVVdlBWOWd2dmdkeVdFRWFuSXE4bHUzdlB0bHRwVW0?oc=5",
19,2025-09-16 7:00,googlenews,다이어트 유산균,"관광객 홀린 K건기식…수출도 확 늘었다 - 한국경제
https://news.google.com/rss/articles/CBMiWkFVX3lxTE1OTDM2YzB5VVJZMmk0dW5KVFRyVlI1cm41aG04cTV5QWRxcDJQNGFCTEdoZTBIMWNsRlJHV3ZJOHhzR1JkQTRCSmh4ZjRuZU4tOUVLckx5QVF5Z9IBVEFVX3lxTE42WC1GZkszU09ld29teTRGTjNIU1hDVGJqYTFaUUJLQ1hCQzQ0Q2duYjdQclhoOTlLS1NTN2F5QTZILUNmMzVuM0xMZEJNZTlSNzl1TA?oc=5",
20,2025-09-14 7:00,googlenews,다이어트 유산균,"박용우 ""탄단지는 옛날 이론이죠"" 현대인의 다이어트 유지 방법 핵심은…[의사결정] - 노컷뉴스
https://news.google.com/rss/articles/CBMiUkFVX3lxTE1Hb2JKVEtINUNDV0libHdQMlhMVl9oY1l3NUlsc0xhbnktQkRMZEF2NkFWTnRHR29sMG8tNnl2cDlrWU9kZnpfbXZxeVozRU5vbHc?oc=5",
