Date,콜라겐,아르기닌,단백질보충제,단백질쉐이크,알파cd
2024-12-27,24.34352,19.04129,4.37651,11.40186,0.37578
2024-12-28,18.13849,13.17996,5.34805,11.08565,0.21538
2024-12-29,20.82397,17.44649,5.11892,12.33215,0.2108
2024-12-30,14.69685,15.27885,5.3893,14.34398,0.43077
2024-12-31,14.5777,18.52344,5.16933,11.47518,0.5041
2025-01-01,13.30828,13.9132,6.0538,15.4805,0.43077
2025-01-02,14.34856,18.5051,6.56706,18.78007,0.582
2025-01-03,13.53283,16.79574,6.01713,16.11291,0.94862
2025-01-04,14.81142,14.62352,9.03716,13.91778,0.37578
2025-01-05,18.17056,23.22533,8.14353,17.94601,0.38495
2025-01-06,16.96072,25.71834,11.02607,21.878,0.59117
2025-01-07,19.64162,17.47857,10.17368,19.69203,0.61867
2025-01-08,19.967,24.98968,11.47518,17.51982,0.48118
2025-01-09,22.11172,21.21809,11.75473,16.84157,0.48118
2025-01-10,14.71976,21.36015,11.35145,15.24678,0.42619
2025-01-11,20.4986,18.0285,10.87942,13.4091,0.39411
2025-01-12,14.5502,21.65803,16.43371,16.47495,0.29787
2025-01-13,17.90935,18.7709,14.11484,18.638,0.68282
2025-01-14,15.54007,24.90719,13.76655,18.94963,0.70574
2025-01-15,16.05792,18.39512,11.48434,17.39608,0.55451
2025-01-16,20.3382,18.61509,12.41464,17.51523,0.75615
2025-01-17,16.30997,16.68576,7.38279,15.39342,0.4491
2025-01-18,17.24027,15.54465,6.52582,13.06539,0.47202
2025-01-19,23.51862,15.6913,7.28655,17.64813,18.81215
2025-01-20,21.25017,19.93492,8.29017,21.30516,2.06223
2025-01-21,19.45373,19.53622,8.8676,19.04587,1.72311
2025-01-22,14.85724,19.24751,9.00966,18.9588,1.19609
2025-01-23,18.68841,18.38137,8.38183,16.19999,1.32899
2025-01-24,14.04151,15.81962,9.11965,13.53283,1.19151
2025-01-25,12.04344,13.78488,8.05645,11.65849,1.41606
2025-01-26,12.03427,13.08372,7.83648,11.51642,0.97154
2025-01-27,10.39824,13.49617,8.25809,12.45589,1.06777
2025-01-28,10.20576,13.2762,7.66692,11.85555,0.7424
2025-01-29,11.45227,12.90958,8.24893,11.80972,0.68741
2025-01-30,12.51546,16.80032,9.67874,17.23569,4.94477
2025-01-31,13.06997,19.65079,9.13798,19.31625,0.75156
2025-02-01,13.92236,18.76632,8.75761,22.28587,0.48577
2025-02-02,17.21277,17.88185,9.20672,26.10329,17.44191
2025-02-03,18.98629,20.79648,9.81623,28.61463,1.59937
2025-02-04,17.35942,21.03936,9.87122,25.96123,3.29957
2025-02-05,24.93927,24.26561,9.20214,24.82012,17.51982
2025-02-06,17.61605,21.95133,8.54681,22.36377,1.4848
2025-02-07,17.76728,21.1356,8.43682,18.056,7.47445
2025-02-08,21.37848,19.17419,8.06562,17.18986,2.24554
2025-02-09,15.55382,20.15489,8.11603,21.34182,22.35461
2025-02-10,18.80298,18.9038,9.65583,25.30589,7.08491
2025-02-11,15.61798,21.51597,8.65221,22.09339,32.49621
2025-02-12,19.09628,21.80926,8.22602,22.69373,4.64689
2025-02-13,17.86352,23.14742,8.98217,20.92937,9.67416
2025-02-14,16.37413,17.70313,6.45249,19.91201,2.9192
2025-02-15,18.87172,15.26511,5.69176,13.50533,3.15292
2025-02-16,19.39874,15.69588,6.80078,16.84157,31.68965
2025-02-17,17.7352,19.45373,8.06104,21.69928,3.3454
2025-02-18,24.82471,19.39874,8.79886,21.91008,2.66257
2025-02-19,18.1614,18.61509,9.52751,21.16768,1.97057
2025-02-20,16.17249,17.39608,9.15631,18.51885,8.65679
2025-02-21,18.30805,16.42912,11.14064,15.99835,2.26387
2025-02-22,14.88932,14.09651,8.73928,15.40717,24.05022
2025-02-23,22.20338,14.99931,9.29838,18.42262,2.79547
2025-02-24,17.61605,18.06516,15.12762,20.88355,3.3179
2025-02-25,18.75257,19.13752,8.43224,19.89826,3.10251
2025-02-26,19.97158,20.82855,8.01521,19.50873,29.61367
2025-02-27,18.39054,20.64524,11.83263,18.65634,18.83964
2025-02-28,13.95444,17.53356,10.66862,15.86086,3.25374
2025-03-01,18.25305,14.51354,10.29741,16.23665,20.6315
2025-03-02,13.16163,14.75184,7.84565,17.94601,31.05723
2025-03-03,14.42646,17.24485,8.13894,20.91104,7.58443
2025-03-04,17.36858,18.6655,7.9373,22.1713,20.30612
2025-03-05,15.59965,19.30708,7.98313,20.38403,4.33069
2025-03-06,16.29164,20.03116,8.42766,18.80757,21.64887
2025-03-07,13.12497,17.52898,7.29114,15.81962,23.44072
2025-03-08,15.19637,13.95903,7.1949,14.72434,4.78896
2025-03-09,14.42188,15.25594,7.90064,20.39319,38.60501
2025-03-10,14.40813,18.7984,8.58347,24.04564,17.34109
2025-03-11,17.35025,19.35749,8.7622,22.27212,13.45492
2025-03-12,17.82228,20.03116,8.30392,23.16575,12.51546
2025-03-13,16.68117,18.86714,7.73108,22.07964,15.24219
2025-03-14,14.53187,17.58856,6.89244,17.44649,34.43013
2025-03-15,12.13051,14.179,5.6551,15.32926,6.35167
2025-03-16,18.67008,15.79212,7.66692,19.0367,17.17611
2025-03-17,15.13679,19.6737,7.699,22.92287,65.55611
