,Average,Max,Min,Std,Growth
콜라겐,14.26,35.84,8.54,3.61,-28.19
아르기닌,18.44,43.19,11.59,3.65,-11.15
단백질보충제,7.25,16.43,3.75,1.75,-6.95
단백질쉐이크,18.1,29.28,10.47,3.73,4.79
알파cd,20.26,100.0,0.0,21.36,489.47
