순번,기록일시,날짜,검색키워드,출처포털,출처,제목,기사평가,기사평가근거요약,링크
41,2025-09-25 13:58:51,2025-09-22 21:10,다이어트,구글뉴스,코메디닷컴,손예진 “혹독한 다이어트” 후 먹은 ‘이 음식’…살 뺄 때 최악이라고? - 코메디닷컴,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTE50U0VMdjhRVUx6dE9mOV9tbEJ5SS03SGd0WVpINUtCWk55OEJtYmE1c0h1VnRSUFQyREpkYm0wZVdNUQ?oc=5
42,2025-09-25 13:58:51,2025-09-22 21:01,다이어트,구글뉴스,헬스조선,"손예진, 철저한 다이어트 끝에 ‘이 음식’ 먹었다 인증… 살 찌우는 주범? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9ObVQtR2NieXNFdXBwWjE3aC1ZbTFkMDNDdExLaGFEY25ienhOTDhyblU4VjVIWmdoUHR3eklwaTlxcXV0cl8tV2Yybi05cnYyNVJsdGY3T0dHaFZpTm5HaUpWam9xdXZnc0Y1ZVhCU0ZkX21QcFE?oc=5
43,2025-09-25 13:58:51,2025-09-22 16:00,다이어트,구글뉴스,헬스조선,"“생으로 먹어도, 다이어트에 최고”… 12kg 감량 심진화, ‘이것’ 덕분에 성공? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9oY0t0U3lBYm1HODFDME9RSjc3ZTA3eWlPRmxvbWZhYzNoQXM2ZTJZQTJHNVhTS3ZPTXB1NTQxUnVydFBPMndEemh2eGlRZm5wNWJkY3JCNHUweVB4N3puM2ZJRHQza2s3bW0zY0k1ZUQ1aGhWOFE?oc=5
44,2025-09-25 13:58:51,2025-09-21 14:01,다이어트,구글뉴스,헬스조선,"“요요 극복하고, 30kg 감량 성공”… 지금 가장 행복하다는 그, 비결 물었더니? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE5tSUVobWdSNTM2cl9BeHlweTNpX004ZWY2ZHplLVpaYVgxTkdja2lnbVM1U09WaG9JcjBvR1lUMjVsQ3o1S3BYSm5LLTh2dkVpWm5Ea0h3VXdDSmlYTnJ1ZVYwWGo5dWFIdmsySC1hUHBHcVQ3OGc?oc=5
45,2025-09-25 13:58:51,2025-09-21 13:20,다이어트,구글뉴스,조선일보,손예진 “혹독한 다이어트... 해운대 떡볶이는 먹었다” 부산영화제 참석 인증 - 조선일보,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMijAFBVV95cUxPOWl4Y3hVYlZtS0ZEb3JCTUdCRkowOEZ0WllJNXJRRDRrYjktSnBnSTFIRWg4UXBsOUQ0bjYxWm1MbjRXbUdKdkFGblUzU2RXdzQxUWwwRktHSGZvejFRdWxWRnpsTnJRQjNrbmV4OFFsVEI3SnNUSElpSFBkb1JRaURkZXkyTGxGNWE2S9IBoAFBVV95cUxNRHhjcnhMREgtQzk3N0pIOFVfMms3YWlXUTJ6YXBUa3NZT05SQnVCYS10VHBlc0phdEJhbG53SzlIV3lTQVRMR1BzN0J0aFN3aDY2OGQtdWwtMHNnRFp0VFQybkpfYkpFOFpRRnRuUl9CWk51eUYxcmlmSDEwNkFVYThIRnZ1V3kwVlZpaS1SU1RQUVBBQkxNSi1yN3d3V1Fw?oc=5
46,2025-09-25 13:58:51,2025-09-21 13:00,다이어트,구글뉴스,헬스조선,“난 다이어트 국가대표” 45kg 감량 최준희 자신감 내비쳐… 얼마나 달라졌길래? - 헬스조선,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE01ZHc4dUFvRm1MSXFWMzA2d1laRzFWWkZDYThJdmNTY0xRWGVHRlVSbkcwNkFoc3pOUjdrMXNLX3p5NWlSSjI1cFRtcE9ucXhNd3ZnUWVOMFNnLWlUY3ZHOFhCaFFsWUQtMEU4UGVISXRubUpFLUE?oc=5
47,2025-09-25 13:58:51,2025-09-21 05:05,다이어트,구글뉴스,코메디닷컴,"“위고비 NO” 곽튜브, 결혼 앞두고 14kg 감량...‘다이어트 식단’ 보니 - 코메디닷컴",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTFBpSzdzQzBCRzc2bGtNalgtRWNFUFFSaUV6cHhhN1hFWWJ3TzBRX19ORjg4ZkFuMUdiTlAwZTNkVmNDdw?oc=5
48,2025-09-25 13:58:51,2025-09-20 14:01,다이어트,구글뉴스,헬스조선,"장영란, 김밥 쌀 때 ‘이것’ 넣는다… 다이어트에 최고? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9VZHNDR19YaEIzMFNjOFVjaVhKX3NHamk2ZE0wdkxYNHgwMmJOY3F6Ymc5S0RkenEyN3QtYTFNWE5vdEcwNWF5NEZXeURjYWZqclhUYU9MQ1BVSFNmS0xpQzJtZWJwaExQXzVOcDFsX1N2RXB5WkE?oc=5
49,2025-09-25 13:58:51,2025-09-20 05:01,다이어트,구글뉴스,헬스조선,"‘16kg 감량’ 윤승아, 다이어트 아침 식단 공개… 뭐 먹나 보니? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9vV003dHR4MldScGFNU0s0U05zS1BHQk5LZ3ljbGk0T0MxT2QzZWVyOV8xV05qZ0dmZG9zYXRBWjU5QW1tRWZmWlh0c0hISlg4VnNyZWp5TTBuam1jcWNzYzg3VDV4U2VSRllWSmp0cFR6dm5lalE?oc=5
50,2025-09-25 13:58:51,2025-09-19 22:06,다이어트,구글뉴스,코메디닷컴,다이어트 성공에는 첫 식사가 중요해...아침에 먹으면 좋은 식품들 - 코메디닷컴,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTE9wWWdXOWZ6UEhiWW0yODNiTGsyYjZhNW40YTVQWURPVjJuQV9SQkQzWmdJZzI5emVuZnVPWXZPVEg0Zw?oc=5
51,2025-09-25 13:58:51,2025-09-19 21:30,다이어트,구글뉴스,헬스조선,고구마는 다이어트 식품일까? 살 찌우는 식품일까? - 헬스조선,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9tQVM3eEtqeFI3cG5DRE92NEdwa1lnN25PUGVQd19NRHpSR2lzN0x0dWdDSnZ2N01kNFdXV2x6UjlxZUxXOWcyaDFJYURoTm1ZTklicjlKV3ZIYm5UQ3JYd1prWGVfVHRaQ2xjd3UxZWRhX1hmc1E?oc=5
52,2025-09-25 13:58:51,2025-09-19 05:11,다이어트,구글뉴스,헬스조선,"“혈당 스파이크 막고, 다이어트 효과도”… 20kg 감량 정주리, 식사 전 ‘이 습관’ 지켜 - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTFBLdnB5N1VDNUhhODdURVBYaUp1emtzbm55bTFUNFQwbDB5U3JCcFlhVVg3MTd2QUtpVjUtN2o2ZkNWSkoyT0tmN0s4czBmLWdMbkJDV2M5X0Y0bnlxZFdBUHlGYU5jeXZCa2wwMF9INHU5U2N0V2c?oc=5
53,2025-09-25 13:58:51,2025-09-19 05:10,다이어트,구글뉴스,동아사이언스,플라스틱으로 음식 부풀린 ‘테플론 다이어트’… 2025년 이그노벨상 - 동아사이언스,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWEFVX3lxTE9QdFlDRDh0b19Tdm1GcHFBM1RrNHkzM180ZnhxTkxzOURBNEZfZVZlOHExbWVyZEgybHFGS0Z2amczQWozUW1TMVV3WjBMSUlkMVBUekhndVU?oc=5
54,2025-09-25 13:58:51,2025-09-19 02:00,다이어트,구글뉴스,헬스조선,"“드레스 입으려, 혹독 다이어트 했다” 손예진… 평소 관리법 뭔지 봤더니? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE5JTWV3Mlk3TElrWFRBUlljTC03blkwajVyYlNlaGxjNng0c3NJbTk0LW9ZMmJXR1MtZWVIMTRONmVzaEhEQTdUeU9GdjB2bXJpRU1SOTdEZmk0SksyWW1kSTBMZ3cxUmlUbjZzNkFDZGQzQ1lpNVE?oc=5
55,2025-09-25 13:58:51,2025-09-18 13:20,다이어트,구글뉴스,헬스조선,"과식하는 패턴에 따라, 다이어트 방법 다르다… 나는 무슨 유형? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE5MeC1oX2xEbXpFMWpVNWwySzB3OUlreWpHYllYQ3dqcWpQZklEYk1LbWhfRVdsNTBEYm5BcUlqMXdoNEx2bGx3aTBMY0htbldNM1BjQkdNWjhPMVdWYTdXZVlxWUxMNXRjTW1WbmtXZWRNdWNsbWc?oc=5
56,2025-09-25 13:58:51,2025-09-18 12:05,다이어트,구글뉴스,코메디닷컴,“살이랑 부기 쏙 빠져”…오연수가 만든 다이어트 음식 보니? - 코메디닷컴,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTE9wdGFyRTJVcjBCeWtfMy1hSlcwakxKeWQ5TDlxWlFVY0lLMW9uMVg2T2VwTTkyY3FuVFBHbzNocURkZw?oc=5
57,2025-09-25 13:58:51,2025-09-17 16:00,다이어트,구글뉴스,헬스조선,“홀쭉해진” 강재준과 강남… 이들의 공통적인 ‘대박’ 다이어트 성공 비법? - 헬스조선,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9tOGswcV9fX2MyV3Fhb0o2aHFERkd4QTdfRHRaNGtfQVhpRkF6ODZjc1hLMTRJZFBDcE9TZklxYUE4cDNjVXNGNm9vV0NQRXltZk9BUEhaWW93N2t1Q2QxUXNzTTdvcmZtb0FFMGZLclZhbDF6alE?oc=5
58,2025-09-25 13:58:51,2025-09-17 02:13,다이어트,구글뉴스,헬스조선,"“살 빼는 데 최고”… 오연수, 다이어트 비법으로 꼽은 건? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTFB3Wk9Gcm5kdDNZOGdlR1BUV2VXdGs0b3doNkUyTFRTcnJZSkc5em9DM3k2NDJvalp4Ull1QWxsVlFSaEJvNDRLdG1xR0E0c0tTeTFqaTkyNDRza1ktTE16emswdDJUbm1fTURuUXBiOWpmbmFtWkE?oc=5
59,2025-09-25 13:58:51,2025-09-16 07:00,다이어트,구글뉴스,헬스조선,“라미란 맞아?” 13kg 감량해 홀쭉해진 모습… 1년간 ‘이렇게’ 뺐다는데 - 헬스조선,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE50V3dUYlFwX0FINk9NN2Jwd0FLOHV2N1hCRXBTV3dDRzFNUnUtMlBPMVZGcXY2MkxrbEgxQm1VR3BHT3kxaTNNM2VzeVdMa1lnSHhLNHE5T01uWDBOLVdGZDAyNUEySV94MnlTbUhLcFZDQkVaOWc?oc=5
60,2025-09-25 13:58:51,2025-09-16 07:00,다이어트,구글뉴스,헬스조선,"‘이렇게’ 먹으면 잇몸 염증 줄어든다… 다이어트에도 좋은 식단, 뭘까? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE02UTlwV3JpUjRsLTBEODJWU2VkWU0xMHhadk5udnQ3ZWs4QVp2Tk5Cc1VHdUR3SFQyS2dCYmZYODRTNkI2N2gzZ0htU0MxMHJJSVBLem1vSVdoTmd2R25VNlRPTXVVOTY3ZDNtOHVRTV9jMlBDamc?oc=5
61,2025-09-25 13:58:51,2025-09-16 07:00,다이어트,구글뉴스,코메디닷컴,"“위고비야 뭐야?” 라미란, 13kg 빼고 ‘노출증’ 생겼다고?…다이어트 비결은 - 코메디닷컴",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTE9pLW1DVmJNNnVjdm9EdzVRUE81WnZDU0czY2tmdmF0UlNMYkdBM3poQjllMzQ0Zk1MWVRZSkQ3c21mZw?oc=5
62,2025-09-25 13:58:51,2025-09-16 07:00,다이어트,구글뉴스,헬스조선,"“살 빠지는 음식들” 이정현, 무대 앞두고 다이어트 식단 공개… 뭐 먹나 보니? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTFBSdVBTNk1iREJ4VFJmN2lEdmlGazFTYjVvdDQwYkNxV1NNRHA2UGI3ZTFiWWNwMWhNemF6OVo5TjF0Y1hjR1ZWU3lLZlNWb3VhUkMzVDBVTWxpellJNkZnVDAtZXdnMDJaVGdjYVloQzBtbERMbEE?oc=5
63,2025-09-25 13:58:51,2025-09-15 21:01,다이어트,구글뉴스,헬스조선,"최은경 “다이어트 안 한다”… ‘이것’만 체크해도 몸매 관리 충분, 뭘까? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMif0FVX3lxTFBNUFAzcV9kNjlNb3BwaFZiVl84WS00X3N2bVhWQ0l4T3pNbzZEb0tXWkZaM1N4RGJTeERGOU5tM0ZpUFYxcUxlSG1fVHhQOUtXRE51T3FOUXIyWE16Yjc0NGIwUDJJbk1fYUtreXVKZHV1bHotSmptTlJ5dmgtOEk?oc=5
64,2025-09-25 13:58:51,2025-09-15 11:03,다이어트,구글뉴스,헬스조선,"오윤아, 다이어트할 땐 ‘이것’ 꼭 먹어야 한다는데… 뭘까? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMif0FVX3lxTE1pTHF3SXdudUFXcjZOMzkyazNtLU9Xbk1IMTYyRTZ6czJOTWhMNU8tQWs2VkJZYjQwU2ZNX2p4VzBxc3hMdkxHaVFnWXpPU1FVX1pnUXk2OFZDbjU1TF9YUFdqQTg1OEJQdHFESGx0QXJzWThHYVpMUEp1eU9vQW8?oc=5
65,2025-09-25 13:58:51,2025-09-15 07:00,다이어트,구글뉴스,헬스조선,"“암 이겨내고, 다이어트 결심”… 정체기 지나니 훅 빠져, ‘14kg 감량’ 비법은? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE1OREhGZEVCczNTMUtHOUJFbGRYZm1iNENwcl82Szc3N3VIZi1wdkhBOWdBLXpuOVdPODhJZWhOcGI4cHQ0WU5WRW8tZGpRNnU4STNYR3paZUpLaGM5NEJ5QUxwNkRITG83QkoySzR0elRFU0lMVlE?oc=5
66,2025-09-25 13:58:51,2025-09-15 07:00,다이어트,구글뉴스,코메디닷컴,"‘26kg 감량’ 이수민, 얼굴 반쪽 근황…‘이 다이어트’ 효과 빠르다고? - 코메디닷컴",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTE5iMjZJMURnaUFTVWtlMm5rbVR2MjRYYU5DbnZ3ejI2WnJKUTQ5MGV4a18yZzlmNnhfRDdBRWN5YXdvZw?oc=5
67,2025-09-25 13:58:51,2025-09-15 07:00,다이어트,구글뉴스,헬스조선,“맛있는데 살 안 쪄 좋아”… 황신혜가 만든 ‘다이어트 빵’ 레시피는? - 헬스조선,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9ubWNmVmdtVlp0eVU0Y1NKYlhXeWk5ZjJHODV0ZzJIbEpLRmd1ZGI0TDVEcDRyMmowdDhpX2thRlFFVXVYZWZpdGVDWjJ6eXlvVndkNnRvWVBtdFA0dkR4TE5fZWhtU3hGemhfbENrbHFOREJvYlE?oc=5
68,2025-09-25 13:58:51,2025-09-15 05:08,다이어트,구글뉴스,디지털투데이,다이어트는 의지의 문제가 아니다…연구 - 디지털투데이,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMic0FVX3lxTE5vb05MV0tJNlFKZWZzbXV6SU93Sl9WcnNDcHJMZ3RBZnRIaTlnajVVbFFIcy11WTBFeXhwMzlvU3RqbEg5TTY3TDE5V3ptaDZfXzdBSnhsWi1GdnhKQ3N0MnJYMzdqWF9JYnBvM1ZsQ1lTd0k?oc=5
69,2025-09-25 13:58:51,2025-09-14 07:00,다이어트,구글뉴스,코메디닷컴,"“맛있는데 살 안 쪄”…황신혜, 다이어트 빵 레시피 공개 - 코메디닷컴",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTE56QWtOWGl6U21QdXBQci1IVDBMNFprRS1XejJzYlBrMVJoVl8wS01RRHZaeDFocmpMMkdtR2VMeGQ4dw?oc=5
70,2025-09-25 13:58:51,2025-09-13 07:00,다이어트,구글뉴스,코메디닷컴,"‘10kg 감량’ 소유, 파격 타투 공개…다이어트 후 깡마른 모습, 비결은? - 코메디닷컴",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTFBhRE1xWHJkMko5WXg2dmVfWlRCRmhmV05JRFJfRTVrYnpDTkN2TjJXS3RJWnByU2VtaW01eDQ3QlQ2UQ?oc=5
71,2025-09-25 13:58:51,2025-09-12 07:00,다이어트,구글뉴스,헬스조선,"‘45kg’ 박하선, 다이어트로 ‘이 부작용’까지 겪었다… 얼마나 심했길래? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTFBwUWk4MFJ2LWxFZmhBakh3WHdqMDdxZE9SVWlvRnFiREZ0Vk4xYXRPTnRPQU9RTFczOXhkWEhDRDVEUVFJRmFNSE5uV1R2Mk1Eb0ZtV3lHOVZlVUc4dThnUGRMZGZaOGFmMHA0TWlEd1RNaFkwUXc?oc=5
72,2025-09-25 13:58:51,2025-09-12 07:00,다이어트,구글뉴스,헬스조선,"“두 달 안에 살 빼겠다” 스윙스, 다이어트 식단 공개… 뭐 먹나 보니? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE91azJ0dkpZa19xc010U2xVdkxxVW05MU9NNjd5QUVpT1VYellEN0hHSnFNcFc3U1NlV3cydTVtUGRzQXFNcllzZE1zS25GNUM0M0ZfREtsREFBSXBYZGNZMWliNFI5dXdPVjdSUUV0VVFIZE0yQnc?oc=5
73,2025-09-25 13:58:51,2025-09-11 08:44,다이어트,구글뉴스,경남도민일보,다이어트 열기 재점화…지역서도 뜨는 저당·건강식 - 경남도민일보,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiaEFVX3lxTE52X1cxbUY4cktSTnI5eGpqLWRvUGhqTjVWWFlvc2dOdTlLOUVIMG1HWXBpRU9SYWxJNzhya194dTB4ck5qMFdMSGFpcDFlc1FQZWxURzZ3eGdOOWZRbThZQmJTcjhMQ3pF?oc=5
74,2025-09-25 13:58:51,2025-09-11 07:00,다이어트,구글뉴스,헬스조선,“다이어트 따로 안 해” 아이브 리즈… ‘이것’만 지켜도 체중 유지된다 - 헬스조선,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE8wa0hDOFNCU3FSMWlQWjlGTTZMeUIyVVREREcxdnJMT3Y5Vk1sRnZHN3gzUjlWa3JNRHFpVERYSmJTZDlqS19MSm1keVZGanljSmhtMGxnM3ZtNVJmVGtaaVpRMnZxS0ZoUG00dFlfQUtYYmpnMGc?oc=5
75,2025-09-25 13:58:51,2025-09-11 07:00,다이어트,구글뉴스,코메디닷컴,위고비? 운동? 다이어트?...하지만 거기엔 커다란 ‘오해’ 숨어있다는데 - 코메디닷컴,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiQkFVX3lxTE14SnF1Z1A1OWFEb3pTTUxWZlRkXzREbWtWQ09vTHRJcGY5QWRuQ3F6ZTJXWWtNYmttU19rbDNjWFY2UQ?oc=5
76,2025-09-25 13:58:51,2025-09-11 07:00,다이어트,구글뉴스,헬스조선,"‘27kg 감량’ 홍윤화, 다이어트 중 디저트 당길 땐 ‘이것’ 먹는다… 뭘까? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTFBVMDdVTFFIV2E0UFQ3bV9vR2ctOXd1T1RLbTJnaEpCSGp0RG8yOXhaMl91VnZxME96Nzc4ZU5yamh1SVlCa25BOGJBS1otazZJLWZqX1JULUlLLXhVOGxPQm1pSUYtVXcxSGRUUGxNYWF2SWlvelE?oc=5
77,2025-09-25 13:58:51,2025-09-11 07:00,다이어트,구글뉴스,헬스조선,"‘19kg 감량’ 이용식, 다이어트 성공 비결… ‘이것’ 꾹 참은 덕분? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE45VHpfMy1vaTktWDFMQmNLOHdBN3hmMlREMVhHaHBpV1Nrd3pubFZpWG02TndKV3BreUVja190MFpnYlVhNnNPNFEwNk95TVoxVi1VNnJRNFBGdnNCQWllVVdZTTVESmtjOFEwVHlsQkRXYlVpbkE?oc=5
78,2025-09-25 13:58:51,2025-09-10 07:00,다이어트,구글뉴스,헬스조선,"‘52→43kg’ 선미, 다이어트 또다시 성공… 배고플 땐 ‘이것’ 먹어 - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9uQlRRMnVBSG44Y1psaklsLVVkSTVDd3dvbzFNQ3BrWnQ0WmxHM3NOM1ZtQXdnMXVFZWlpc2NoekFQYml4Y2JlQzljNUp6TVR3UVRrbWlMRkliYTVoUnZ4R1YwRmtCV0swTGQ0UWxQTTlsQ3U2ZHc?oc=5
79,2025-09-25 13:58:51,2025-09-10 07:00,다이어트,구글뉴스,헬스조선,"“다이어트 망했다” 성시경, ‘이 음식’ 먹방… 왜 안 좋은가 보니? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9HNEpkcEw1TlA4MC1iYjl2dXlYLXJSX2VGbHMyT3JLc01la2lBYTVlOHE2T1A5UFVHQUtrWGdQRUlvaW1DdHo3eldhZWlSUzFSVER4enpuZTZSQ3N6Z3UtUFRXczVrVXdhV0hkekxSMlBoOFR5TWc?oc=5
80,2025-09-25 13:58:51,2025-09-10 07:00,다이어트,구글뉴스,헬스조선,"“배 쏙 들어갔다”… 박지윤, 4주간 ‘이것’ 했더니 성공 - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTFB3aDJsTlZxWmJYeGtqUERQMDAza1otWVVMWmN3bWpWdUZaX2c4TUJGRE4wQnV1YW52ZEFnSTQ2Q0VtZnFSNkMzWUhuOTZEblF3MG52TzNoc2stc0FkZndTcXBHYWxBd18wa1N3RmhES2RfVHp5Q1E?oc=5
81,2025-09-25 13:58:51,2025-09-09 07:00,다이어트,구글뉴스,중앙일보,"요즘 핫한 '이 다이어트 음료'…먹고 난 뒤 ""어지럽다"" 발칵 - 중앙일보",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1rUzA0WGR6WkZJV2tiYU1ydU4tU3lxQWVUcEtJNmh3UF9NMnNnR2k3dndveUdtaTNIbm83WFNXaFdkWW5kZzZydDRmOVlpX3BSYXVHelRR?oc=5
82,2025-09-25 13:58:51,2025-09-09 07:00,다이어트,구글뉴스,중앙일보,"스키니랩, ‘2025 소비자만족 브랜드 대상’ 다이어트보조제 부문 5년 연속 1위 수상 - 중앙일보",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTE92eTRtU0pSNzhWVEM3aFFnRkk2V09IcXhoM04zMGFoX3NjSG1hdnlmd0NyQkVuSmltZlkyYTl5QjgxVUdxWmZ6YnpJbVRnR0d0cVBIU2RR?oc=5
83,2025-09-25 13:58:56,2025-09-25 02:15,유산균,구글뉴스,중앙일보,"주식회사 비오맘, ‘2025 소비자만족 브랜드 대상’ 영유아유산균 건강식품 부문 1위 5년 연속 수상 - 중앙일보",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBUUEFnbnRUWlk1WUpjZ2QtTHYxNmFnVVNpdXVuVWtiRWx0RlFTcXNsN19nOHFGSEVzYW5oRWlEMXlXVVVpQWpFSFVVSWhQOWxVZl8zMkl3?oc=5
84,2025-09-25 13:58:56,2025-09-23 20:32,유산균,구글뉴스,중앙일보,[2025 소비자의 선택] 고기능성 유산균 시장 선도 - 중앙일보,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBUWVlOQW9ydndJb0N5THkySDVORHFTaXpxcFRaNFlKWUdmSUdrakhuMXBJZlhmYWxFc0ZYdi1adnZvTEhYVVRpaDZ6X095alh4Sk9oQTJn?oc=5
85,2025-09-25 13:58:56,2025-09-23 20:31,유산균,구글뉴스,중앙일보,[2025 소비자의 선택] 갱년기 여성 위한 유산균 돌풍 - 중앙일보,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5XVkxzX2kwc0U4SXdybEd0dlpTQVptMk1ZSjVfeE5pekR6ckhfYmRnMWhvc1oySzN1T0lxXzZBMFlTNGlNeWo2Z2ZPdGhCcFkxaEtKcXJB?oc=5
86,2025-09-25 13:58:56,2025-09-23 00:39,유산균,구글뉴스,뉴스1,"헥토헬스케어, 프리미엄 유산균 '드시모네' 글로벌에 알려 - 뉴스1",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9tMllrRThibEFzS0xpT00wOHA0QTBMbHNKel90RjVWdGJRQjhFLWJobWFEMlQ5N2otcnF0Z1V2MEp4a3JId1ZIZTJ2bUhNUGwxLXg4eFBteURwbHhG?oc=5
87,2025-09-25 13:58:56,2025-09-22 08:09,유산균,구글뉴스,v.daum.net,"일동바사, ‘PPP 유산균’ 태국 첫선 - v.daum.net",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5kcnNZNmJscUVIR2JKcTU4TVVENjZaUWhTNTZWY3hCdzlfQWdZeVBCeDdmUjY2alNXZmxOeVM3ckZFYVZNT2tHcU1PdTNHZXg1aU93Vg?oc=5
88,2025-09-25 13:58:56,2025-09-22 05:24,유산균,구글뉴스,ceodaily.co.kr,"hy, ‘녹용유산균발효분말’ 식약처 개별인정 획득 - ceodaily.co.kr",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMibEFVX3lxTE5meW1od3JpTjdma3BObWJWeTJ5WmkycFR0cV9pYXVJMjUwSGZnZmltV2JWei1ZN3IwSGJjZDNobXpFRzdwVGRNR0RZNnY2RGZnamxwYnQ0OXkyaUVOVUduclNnd19rdndHWXA2ctIBcEFVX3lxTE4xbjFLZjlfX0pJcERtd2NxVk9CQVRWM2VjS2d6WGNkMk5hcHpmbS1jNXprZTBmZ0pIdWVWa3JHbXdGMnVja0duWEFkbzdNS2VSZmdoNGh0V0U3OHFtYVMyTjBFejJDNThNRlVCN19FNlY?oc=5
89,2025-09-25 13:58:56,2025-09-22 01:49,유산균,구글뉴스,연합뉴스,"hy, '녹용유산균발효분말' 근력 유지 기능성 식약처 인정 획득 - 연합뉴스",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1lZkJxNl9NSjZpQ3RZOFFVNkJ6dEptb2FueVg3c1ZXakJmWVQ4RUZBN213a3E4U0N4VDlFTFFYYVJGdnhnbGNWQ2JwOXdSQ0tYS3Qya09hcUgtcEXSAWBBVV95cUxPdGwtaGlNT2VOOXRjR2tTQnFPcnBKZmVweWE4SUNoMTJfbHVIdDB5V1p5MjVkZFFvTThxTTRpc3Vnd3VER2ZTX0NHVmIycnNIeHVTSnVHVF92TkRnMGhRMW4?oc=5
90,2025-09-25 13:58:56,2025-09-22 00:52,유산균,구글뉴스,서울파이낸스,"hy, '녹용유산균발효분말' 식약처 개별인정 획득 - 서울파이낸스",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiakFVX3lxTE9zOHhaS0R0MHpZSlRHOWlmSHFFamhLRE15Y2JEc1luUTFuUjZCSXFlSXVYM085aXR6SklJWTFBSmpmTjBEOUlndXRjLVlPS3lwMWlDb050R3J6Yk93Uk5hMjU0d2R1eWFIZEE?oc=5
