순번,기록일시,날짜,검색키워드,출처포털,출처,제목,기사평가,기사평가근거요약,링크
11,2025-09-25 13:58:47,2025-09-11 07:00,다이어트 유산균,구글뉴스,네이트,"정선희, 10월 13일 마라톤 도전…""설인아 보고 자극받았다"" - 네이트",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiU0FVX3lxTFB3M2tKcTQ2ZVFYUS1Da3RnR1c1cmVNNTFnVUlXd1o4ZVVxdVR6Y19FSmRmV0dQeUJWcHZXR2J5aHZidjQwbVlLUmpPTldlWWR6Yngw?oc=5
12,2025-09-25 13:58:47,2025-09-10 07:00,다이어트 유산균,구글뉴스,식품저널 foodnews,"곰팡이 혼입으로 인한 회수명령, 법적 근거가 명확한가 - 식품저널 foodnews",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMibkFVX3lxTE9ZNmJOb1lXZTNfdVlfS2p0OGlDX2hsNVpCQnZ2NUs0RGhBSEllcWx2X3dmR3dWYUh0eE5MYThSMThCRkR5ZUlGZlNWMDRnMmIweXNIaUlDdndkbExNRlhPdDBucnVkTWZWQzFFNnZR?oc=5
13,2025-09-25 13:58:47,2025-09-09 07:00,다이어트 유산균,구글뉴스,한국투데이,"맹승지, 식단과 물·유산균 관리로 10kg 감량…볼륨감은 그대로 - 한국투데이",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiakFVX3lxTE5DRnkydUhYR2h2NVJ3U2ZXTm9nRVVPb1BkM3FSWVJtUGg2RDVEc3NPdjNHcncxWk0wU0JCa3pha3dJWWlnRWR5QTNrdml4NkdybHZ3WkxSODMwNWppc2pKLXZraGczY0xDcHfSAW5BVV95cUxNSmhDc3h2alRFcHRsdjZqMnZMYXdKYzJqa2dKdW9vMjJGNHJiUDBTUEZUV2JsUHpuaC0wT1FaVkVlblNVTTk5VDVMUHU4MVNwRUd2MTYzdmN5TndPUmFkSTFNcS1ySjhZRExoM3VFZw?oc=5
14,2025-09-25 13:58:47,2025-09-09 07:00,다이어트 유산균,구글뉴스,한국경제,2025 올해의 브랜드 대상 – 건강 부문 수상자 인터뷰 - 한국경제,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWkFVX3lxTE13b2ZHaFltb2dMazJhc2dDeEVoQnlxMVlDMGREdUV5cUZSa3JxOFEtNmN2dlByZG9URVNZX0Y5enJXYWVjODBfSGx5U0RmemtDOEtLX0VLVklnQdIBVEFVX3lxTFBVcFdJdXJvTzd2WGl6WjZ1bFctdzREV05hRUJSSWl5SmhQZGRjUnU1WEpLdzJUQnlSVUNRaFFuelZaYVlLampyTnR5bllROUY4M3VROA?oc=5
15,2025-09-25 13:58:47,2025-09-09 07:00,다이어트 유산균,구글뉴스,한국경제,2025 올해의 브랜드 대상 – 중국/베트남/인도네시아 부문 수상자 인터뷰 - 한국경제,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5ORTZvcmhobUZGUExSMmVQYVFfNG04Qi1oTU1wWGRPWVY4ZVB5RjEyZy05dzR5ZUF6OEpEQ3dKb2ctaGxaOTFDRTBWZ2dNNnJad2FIcTA1THlaZ9IBVEFVX3lxTFB3LXdtZER5ZjFnQURXcFlNam1oRVV2S2tMb2JYRXoydF9WWEdBd1hPTUFSTW5sQkVtQWFvZXlOME5fVzhqTXY0aEE4VXdkUGZEX3gwag?oc=5
16,2025-09-25 13:58:47,2025-09-03 07:00,다이어트 유산균,구글뉴스,조선일보,"비에날씬, 다이어트 유산균 시장 ‘독보적 1위’ 입증 - 조선일보",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMijgFBVV95cUxNc2ZhRWJaSzZwcUR0Uk5nLTd0ZzN6S1ZGcWszZlNWQzZJb1VUVk1wTUhBN2RxaEhTZ1ZJN2R3N3BNYnJORjBhRkZrakloTzNMV1RnWGk0a3V0NzRiVnRudmtFdGxxQTNuTG5HZnl6NWY5RGRocGl5bW1JWjR6V1ktS0xrQ3pNTk53Q2xsdDRn0gGiAUFVX3lxTE9vZDVzeGdrUlRwV3c2RVQ2d08tbUVSR05vZlBFOE1MR3VLZDhyMmxHZDFwUnN3c0J3UzBnQklQLWpHS3V2SVFrR0ViNkJtZWZMSE03aGdyNWo2djRYZjJVV3R1V3h4TE9jYlR6VDN2bjFsUUN1cHJCbFhVblRuNDNwclVVSEQtS0xZaElRdXVoc1hzbkxKMHYzMFpGd2NyR3Nvdw?oc=5
17,2025-09-25 13:58:47,2025-09-02 07:00,다이어트 유산균,구글뉴스,헬로디디,"바이오니아 자회사 에이스바이옴, 올해의 브랜드 대상 - 헬로디디",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiakFVX3lxTE1zaEFmQTFxbk5iNnBZN0hUMy1PTjQ0M1JDRU1zNjJ0NHZOQlFuRThoZnlQTXhhV2ZnUDRySUE4SkVVV09EZk45SFNOVmplSkl4RHRwVEl1Nl9rU3ZNRHBHNVVhdDlKOFU3NFE?oc=5
18,2025-09-25 13:58:47,2025-09-02 07:00,다이어트 유산균,구글뉴스,하이뉴스,"에이스바이옴 ‘비에날씬’, 2025 ‘올해의 브랜드 대상’ 중국 다이어트 유산균 부문 대상 수상 - 하이뉴스",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9iX1lFS3BjaFdOYjBTUUlnMGlxbHlZUmZvd3dzc29HcHd3MjJEZzQ3QTFlTVFTVHlkOVpTZTZTYmx0ZzhBUk43S0stSXBjQ0piN1BiRFRRMUVCbVhQT1ZkaTdyMzNCR21TWWg2N1RCdkVsVzhrWUE?oc=5
19,2025-09-25 13:58:47,2025-09-02 07:00,다이어트 유산균,구글뉴스,프라임경제,"바이오니아 子 에이스바이옴, '올해의 브랜드 대상' 국내·중국 동시 수상…'글로벌 경쟁력' 입증 - 프라임경제",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMibEFVX3lxTFBlaFZpNDV3LTU1bHdlUmJLNmI3MkRaMTkwTi1vN0dpcUgtMUMyUjludURRQXc1WWtjekpnX29sZnQtRHVQaHAtdEYxdkd3dEVWMjl6RmlGMWZRVUhETEFRR0JYV0pNNi1lYnZzSA?oc=5
20,2025-09-25 13:58:47,2025-09-02 07:00,다이어트 유산균,구글뉴스,메디컬투데이,"바이오니아 자회사 에이스바이옴, ′올해의 브랜드 대상′ 2관왕 - 메디컬투데이",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiXEFVX3lxTE95NllhbGRDVDhwbjFTbm5MamRkYWh2Y3MxbUxOZW9CUWpHUmdoZkdjdlNCanR1MTFlcWJqTjZKZXF1cGpEemQxRDZyMEtzdmJUNFF5R0FkZXVKY1Et0gFsQVVfeXFMT0tqb0VpVEU3SGdmZDdVYWdFREZ0eUFUbmhabWFuZ1h1OEw4cVJEWWxBMU1LT3dXT2gzY3lTNDRncWc0dzFyYjU4VFM4a3FUc3pTVnRsOWNFQ3p2Ul9DTGIxemdveXZrZmgybEl3?oc=5
