date,platform,product_name,asin,price,is_stockout
2025-09-23,Amazon,"Garden of Life Once Daily Dr. Formulated Probiotics for Women 50 Billion CFU 16 Probiotic Strains with Organic Prebiotics for Digestive, Vaginal & Immune Health, Dairy Free, Shelf Stable 30 Capsules",B00Y8MP4G6,26.9,False
2025-09-23,Amazon,"Nature's Bounty Fish Oil Omega 3 Supplements - Supports Heart Health, 1200 Mg Fish Oil, Omega-3, 200 Softgels (Pack of 1)",B000NPYY04,14.17,False
2025-09-23,Amazon,"Physician's CHOICE Probiotics for Women 50 Billion CFU - pH Balance, Digestive, Urinary Tract & Gut Health - 6 Diverse Strains with Organic Prebiotics + Cranberry Extract - Women Probiotic - 30 CT",B07B8BSGPL,23.97,False
