,Average,Max,Min,Std,Growth
probiotics weight loss,58.06,100.0,0.0,26.16,-0.33
diet probiotics,61.34,100.0,0.0,21.08,-17.3
gut health weight,52.75,100.0,0.0,18.94,7.06
microbiome diet,41.79,100.0,0.0,33.37,-7.2
